Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1µF,C_0603_1608Metric,62.7,-73.7,0.0,top
C2,1µF,C_0603_1608Metric,124.4,-73.7,0.0,top
C3,1µF,C_0603_1608Metric,95.7,-73.6,180.0,top
D1,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,50.0,-75.0,0.0,top
D2,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,68.75,-75.0,0.0,top
D3,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,90.0,-75.0,0.0,top
D4,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,110.0,-75.0,0.0,top
D5,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,130.0,-75.0,0.0,top
J1,5050040812,CONN8_505004-0812_MOL,42.5,-75.0,90.0,top
J2,5050040812,CONN8_505004-0812_MOL,137.5,-75.0,90.0,top
R1,330R,R_0603_1608Metric,45.4,-75.625,-90.0,top
