Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1µF,C_0603_1608Metric,77.575,-72.8,0.0,top
C2,1µF,C_0603_1608Metric,119.5,-72.9,180.0,top
C3,1µF,C_0603_1608Metric,103.125,-73.1,180.0,top
C4,1µF,C_0603_1608Metric,60.775,-73.0,180.0,top
D1,WS2812B,XL-3332RGBC-WS2812B,48.333333,-75.0,0.0,top
D2,WS2812B,XL-3332RGBC-WS2812B,65.0,-75.0,0.0,top
D3,WS2812B,XL-3332RGBC-WS2812B,81.666667,-75.0,0.0,top
D4,WS2812B,XL-3332RGBC-WS2812B,98.333333,-75.0,0.0,top
D5,WS2812B,XL-3332RGBC-WS2812B,115.0,-75.0,0.0,top
D6,WS2812B,XL-3332RGBC-WS2812B,131.666667,-75.0,0.0,top
J1,5050040812,CONN8_505004-0812_MOL,42.5,-75.0,90.0,top
J2,5050040812,CONN8_505004-0812_MOL,137.5,-75.0,90.0,top
R1,330R,R_0603_1608Metric,45.2,-76.0,-90.0,top
